	Budget max	Box office max
0	200220000000.0	2713000000.0
1	200000000.0	2209000000.0
2	1000000.0	83257.0
3	7000000.0	49000000.0
4	7090000000.0	1000000.0
5	25000000.0	67000000.0
6	35000000.0	43000000.0
7	45000000.0	218000000.0
8	2000000.0	36000000.0
9	250000.0	787280.0
10	83000000.0	45000000.0
11	1500000.0	2663916.0
12	34000000.0	19000000.0
13	10000000.0	203.0
14	450.0	182.0
15	157000000.0	5071000000.0
16	80000000.0	1003000000.0
17	43000000.0	23000000.0
18	38000000.0	5052.0
19	40000000.0	104000000.0
20	40000000.0	104000000.0
21	30000000.0	427000000.0
22	85000000.0	2070871.0
23	23000000.0	120000000.0
24	23000000.0	120000000.0
25	7000000.0	47000000.0
26	300000.0	3000000.0
27	600000.0	74701.0
28	600000.0	74701.0
29	600000.0	74701.0
30	540000.0	235261.0
31	90000000.0	696000000.0
32	2000000.0	266963.0
33	75000000.0	2753000000.0
34	5860000000.0	199000000.0
35	100000.0	250000.0
36	64000000.0	29000000.0
37	32000000.0	139000000.0
38	50000.0	725952.0
39	724000000.0	465000000.0
40	75000000.0	1662000000.0
41	113641313.0	24138.0
42	50000000.0	2131000000.0
43	6216000.0	509000.0
44	40000000.0	333000000.0
45	100000.0	250000.0
46	20000000.0	366000000.0
47	1000000.0	34000000.0
48	75000000.0	791863.0
49	30000000.0	291000000.0
50	175200000000.0	2549000000.0
51	128000.0	263000.0
52	10000000.0	590416.0
53	200000.0	8332.0
54	200000.0	349271.0
55	75000000.0	2269000000.0
56	5000000.0	52285.0
57	123000000.0	66000000.0
58	123000000.0	66000000.0
59	7000000.0	302000000.0
60	2000000.0	5000000.0
61	16000000.0	15000000.0
62	45000000.0	53222.0
63	65000000.0	269000000.0
64	18000000.0	347000000.0
65	74871.0	45.0
66	15000000.0	179000000.0
67	500000.0	4689.0
68	1700000.0	34000000.0
69	600000000.0	1176000000000.0
70	70000025000000.0	105908.0
71	60000000.0	1011000000.0
72	60000000.0	1011000000.0
73	45000000.0	37000000.0
74	50000000.0	2131000000.0
75	10.0	21.0
76	12000000.0	1634000000.0
77	90000.0	72731.0
78	10000000.0	428000000.0
79	10000000.0	595000000.0
80	10000000.0	805000000.0
81	43000000.0	94000000.0
82	35000000.0	601000000.0
83	62.0	11.0
84	58000000.0	37000000.0
85	5000000.0	192000000.0
86	382000.0	1822000000.0
87	7000000.0	1190416.0
88	26000000000.0	214000000.0
89	58000000.0	8362.0
90	55.0	44.0
91	200000000.0	117000000.0
92	34000000.0	470000.0
93	155000000.0	31000000.0
94	155000000.0	31000000.0
95	155000000.0	31000000.0
96	155000000.0	31000000.0
97	155000000.0	31000000.0
98	155000000.0	31000000.0
99	155000000.0	31000000.0
100	40000000.0	15000000.0
101	10.0	8357581.0
102	6000000.0	11000000.0
103	35000000.0	1011000000.0
104	15000000.0	106645.0
105	35000000.0	103000000.0
106	1840000.0	166749.0
107	25.0	551.0
108	15000000.0	16781408.0
109	860000.0	11864.0
110	60000000.0	29000000.0
111	10000000000.0	156000000.0
112	25000000.0	7235.0
113	3000000.0	242623.0
114	15000.0	18370.0
115	7000000.0	216000000.0
116	596000.0	471000000.0
117	910000000.0	958440.0
118	3000000.0	25000000.0
119	10000000.0	67000000.0
120	500000.0	269823.0
121	775000000.0	501000000.0
122	9000000000.0	176000000.0
123	18000000.0	206000000.0
124	23000000.0	483000000.0
125	7000000.0	58000000.0
126	50000000.0	0.0
127	53.0	7957296.0
128	40000000.0	17000000.0
129	200.0	607650.0
130	2000000.0	118000000.0
131	38000000.0	2053000000.0
132	14000000.0	12000000.0
133	45000.0	30000000.0
134	1318000.0	12604.0
135	22000000.0	47000000.0
136	8000000000.0	117516.0
137	5000000.0	186000000.0
138	40000000.0	927000000.0
139	35000000.0	712000000.0
140	15.0	100.0
141	23000000.0	68798.0
142	25000000.0	265000000.0
143	21000000.0	3000000.0
144	250000.0	37539.0
145	175200000000.0	142000000.0
146	63000000.0	4672000000.0
147	18000000.0	349757.0
148	70000000.0	255000000.0
149	4000000.0	218000000.0
150	46000000.0	132000000.0
151	46000000.0	132000000.0
152	1000000.0	19000000.0
153	60.0	20020.0
154	47000000.0	134000000.0
155	4000000.0	28000000.0
156	185000000.0	13111833000000.0
157	14000000.0	202000000.0
158	65000000.0	536023.0
159	20000000.0	418807.0
160	30000000.0	114000000.0
161	25000000.0	123000000.0
162	8.0	15.0
163	20000000.0	523000000.0
164	20000000.0	523000000.0
165	35000000.0	44000000.0
166	6000000.0	1132000000.0
167	26000000.0	1514000000.0
168	5000000.0	24000000.0
169	5000000.0	87000000.0
170	600000.0	13493.0
171	400000.0	11.0
172	750000.0	44000000.0
173	4000000.0	11000000.0
174	5000.0	151000000.0
175	275000000.0	55000000.0
176	24.0	1164.0
177	70.0	3513.0
178	19000000.0	275304.0
179	50000000.0	2428000000.0
180	50000000.0	2428000000.0
181	50000000.0	2428000000.0
182	50000000.0	2428000000.0
183	190.0	354023.0
184	2000000.0	325070.0
185	5000000.0	32000000.0
186	5000000.0	32000000.0
187	5000000.0	32000000.0
188	17000000.0	131000000.0
189	75000000.0	791863.0
190	75.0	31000000.0
191	75.0	31000000.0
192	75.0	31000000.0
193	75.0	31000000.0
194	20000000.0	766000000.0
195	5000000.0	32000000.0
196	5000000.0	32000000.0
197	5000000.0	32000000.0
198	15.0	38.0
199	236.0	111000000.0
200	45000000.0	598000000.0
201	90110000000.0	4853000000.0
202	32000000.0	6000000.0
203	4557000000.0	607000000.0
204	0.0	59000000.0
205	0.0	59000000.0
